가맹점명,서울페이업종명,우편번호,자치구명,기본주소,상세주소
혀니살롱,생활/리빙,8241,구로구 ,"서울특별시 구로구 고척로49길 2 (고척동, 고척헤리츠)",
으뜸남대문안경,의류/잡화,6781,서초구 ,서울특별시 서초구 동산로 67,서초구 양재동 291-18 102호
일등법무사사무소,기타,7257,영등포구,서울 영등포구 당산로,"124, 2층 (당산동3가)"
경희참편한한의원,보건/복지,7042,동작구 ,서울특별시 동작구 성대로2길 3 (상도동),
법무법인새한양,기타,6595,서초구 ,서울 서초구 법원로,"15, 서관 306호 (서초동,정곡빌딩)"
가원플라워,생활/리빙,6609,서초구 ,서울 서초구 사평대로52길,"1, 1층 103호 (서초동,대경빌딩)"
(주)더블루,기술/기능 교육,8595,금천구 ,서울 금천구 범안로,"1142, 5층 509호 (가산동,하우스디 더 스카이밸리 가산2차)"
데일리피트니스 PT 성수점,문화/체육,4776,성동구 ,"서울특별시 성동구 뚝섬로 400 (성수동2가, 뚝섬쇼핑센타)",
꽃피는정원,의류/잡화,137942,기타   ,서울 서초구 양재2동,232 중도매인 2층 210
오성,음식점/식음료업,2791,성북구 ,서울 성북구 화랑로,"196, 1층 1호 (석관동)"
남서울한의원,보건/복지,6979,동작구 ,서울시 동작구 현충로 92,
신세계부동산공인중개사사무소,부동산/임대,1901,노원구 ,"서울특별시 노원구 석계로 49 (월계동, 현대아파트) 101동~111동,상가",
LGUPLUS엘지유플러스광화문빌딩점,기타,3184,종로구 ,"서울특별시 종로구 새문안로 58 (신문로2가, LG광화문빌딩)",
삼정약국,보건/복지,4362,용산구 ,서울 용산구 원효로19길,72-1 (원효로3가)
아리따움연희점,생활/리빙,3707,서대문구,서울특별시 서대문구 연희맛로 23 (연희동),
윤성희재즈밴드,기타,2154,중랑구 ,서울특별시 중랑구 면목로92가길 26 (상봉동),동광빌라 a 402
사함께웃는마을공동체 즐거운가가락본동 송파키움센터,기타,5705,송파구 ,"서울특별시 송파구 오금로36길 36 (가락동, 태연빌딩)",3층 가락본동 송파키움센터
보스턴은소아과,보건/복지,8747,관악구 ,서울 관악구 양녕로,
커밍제인,의류/잡화,3037,종로구 ,서울시 종로구 옥인3길 3,
신림동장인 떡볶이,음식점/식음료업,8839,관악구 ,서울 관악구 신림로12길,"34, 지하1층 (신림동)"
담담(담아 담다),음식점/식음료업,6536,서초구 ,서울특별시 서초구 사평대로57길 93 담담,담담(담아 담다)
숙썽수산 종로본점,음식점/식음료업,3190,종로구 ,"서울특별시 종로구 삼일대로19길 16 (관철동, 덕흥빌딩)",
프레시크레딧 역삼팁스타운점,식자재/유통,6247,강남구 ,"서울특별시 강남구 역삼로 171 (역삼동, 브라운스톤역삼아파트)",
오렌즈 선릉점,의류/잡화,6198,강남구 ,서울특별시 강남구 선릉로86길 18,
일품양평해장국 제기점,음식점/식음료업,2566,동대문구,"서울특별시 동대문구 정릉천동로 58(용두동, 롯데캐슬피렌체)",130호
주상주교유코리아,문화/체육,7528,강서구 ,서울 강서구 양천로 401,A동 11층
호주헬스라이프,식자재/유통,8622,금천구 ,서울특별시 금천구 독산로39길 21,1층
원조양평해장국,음식점/식음료업,8589,금천구 ,서울시 금천구 디지털로 130(가산동),
법무부남부보라미어린이집,기술/기능 교육,8367,구로구 ,서울 구로구 금오로,865 (천왕동)
참이쁜돼지,음식점/식음료업,2069,중랑구 ,서울시 중랑구 봉화산로56길 74(신내동),
브루브루 (주),음식점/식음료업,5663,송파구 ,서울 송파구 오금로,
민태 컴퓨터,의류/잡화,4930,광진구 ,서울 광진구 용마산로3길,"93, 1층 (중곡동)"
겜마컬렉션,의류/잡화,4022,마포구 ,서울 마포구 월드컵로7길,"65-3, 503호 (합정동,그레이스빌)"
더달달 관악봉천점,음식점/식음료업,8735,관악구 ,서울특별시 관악구 관악로24길 78 (봉천동),
아인헤어,생활/리빙,4152,마포구 ,서울특별시 마포구 토정로31길 63(대흥동),1층 105호
복원양꼬치,음식점/식음료업,8509,금천구 ,서울시 금천구 벚꽃로 38길 21,1층
에어컨홈케어,의류/잡화,5787,송파구 ,서울 송파구 양산로4길,"8, 401동 803호 (거여동,거여4단지아파트)"
이레건강원,기타,1076,강북구 ,서울특별시 강북구 노해로17길 36(수유동),이레건강원
제이델링 레터링케이크 서울송파점,음식점/식음료업,5597,송파구 ,"서울특별시 송파구 백제고분로32길 38 (삼전동, 기웅빌딩)",101호
늘고운한의원,보건/복지,3059,종로구 ,서울시 종로구 북촌로 22-1,
모아무아 스튜디오,기타,5803,송파구 ,"서울특별시 송파구 동남로4길 31-1 (문정동, 빅토리)",2층 모아무아 스튜디오
파라곤  헤어살롱,생활/리빙,7997,양천구 ,서울특별시 양천구 목동서로 155 (목동),
트로피티 아일랜드 한성대점,음식점/식음료업,2868,성북구 ,서울 성북구 보문로29길,
폐기물처리 큐온,기타,2119,중랑구 ,서울 중랑구 망우로30길,"8, 401호 (상봉동)"
비그린스튜디오,기술/기능 교육,6284,강남구 ,서울 강남구 삼성로,"212, 31동 404호 (대치동,은마아파트)"
알로이방콕3,음식점/식음료업,6949,동작구 ,서울특별시 동작구 상도로 161-1,1층
찬스어패럴,의류/잡화,4320,용산구 ,서울 용산구 한강대로,"329, B1층 102호 (갈월동)"
진국감자탕,음식점/식음료업,2017,중랑구 ,서울시 중랑구 중랑역로 106-1,
마쇼마쇼,음식점/식음료업,4997,광진구 ,서울 광진구 군자로,"164, 1층 (군자동)"
라시엘발레학원,기술/기능 교육,4317,용산구 ,서울특별시 용산구 효창원로64길 2 (효창동),
동아상사,가구/인테리어,1118,강북구 ,서울 강북구 미아동,203-5번지
델리식스 주식회사,음식점/식음료업,7802,강서구 ,서울특별시 강서구 마곡동로3길 26(마곡동),305호
루미북클럽 시흥벽산독서논술교습소,기술/기능 교육,8646,금천구 ,서울 금천구 금하로,"816, 상가1동 306 - 2호 (시흥동)"
프로미스킴,기타,2568,동대문구,서울 동대문구 정릉천동로,"80, B동 302호 (제기동,경동미주아파트)"
더벤티 국회대로점,음식점/식음료업,7237,영등포구,서울 영등포구 국회대로,"780, 1층 110호 (여의도동,엘지여의도에클라트)"
행복을 담는키친,음식점/식음료업,5611,송파구 ,서울 송파구 석촌호수로,"210, 지하1층 23호 (석촌동,석촌호수효성해링턴타워)"
슈크레아이스크림할인점(상도점),식자재/유통,6959,동작구 ,서울 동작구 상도로22나길,
한마음공인중개사사무소,부동산/임대,4713,성동구 ,"서울특별시 성동구 행당로 87 (행당동, 행당동대림아파트)",
청록바이오,식자재/유통,133110,기타   ,서울 성동구 성수동1가,13-209 2층 210호
엠케이,의류/잡화,3418,은평구 ,서울 은평구 연서로3길,"14-7, 301호 (역촌동,삼익빌라)"
카페유니콘24,음식점/식음료업,3668,서대문구,서울특별시 서대문구 증가로24가길 42 (북가좌동),1층 카페유니콘 (아이스크림가게 옆)
경인당,생활/리빙,3149,종로구 ,서울 종로구 인사동길,"33, 4층 (관훈동)"
유리진,생활/리빙,3391,은평구 ,서울 은평구 통일로71길,"2-1, 4층 427호 (대조동,대조빌딩)"
아이린헤어로그,생활/리빙,4715,성동구 ,"서울특별시 성동구 무학봉28길 5 (하왕십리동, 상리제나우스)",
각자의연유 체형교정센터,문화/체육,1895,노원구 ,서울특별시 노원구 화랑로 337-4 (월계동),
굿모닝마트쌍문역점,식자재/유통,1366,도봉구 ,서울특별시 도봉구 삼양로 590,1층
